landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2016-1585,Medium,,,2021-05-03T01:13:06.673411128Z,In all versions of AppArmor mount rules are accidentally widened when compiled.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2019-18276,Low,,,2021-05-03T01:13:06.673411128Z,"An issue was discovered in disable_priv_mode in shell.c in GNU Bash through 5.0 patch 11. By default, if Bash is run with its effective UID not equal to its real UID, it will drop privileges by setting its effective UID to its real UID. However, it does so incorrectly. On Linux and other systems that support ""saved UID"" functionality, the saved UID is not dropped. An attacker with command execution in the shell can use ""enable -f"" for runtime loading of a new builtin, which can be a shared object that calls setuid() and therefore regains privileges. However, binaries running with an effective UID of 0 are unaffected."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2019-14250,Medium,,,2021-05-03T01:13:06.673411128Z,"An issue was discovered in GNU libiberty, as distributed in GNU Binutils 2.32. simple_object_elf_match in simple-object-elf.c does not check for a zero shstrndx value, leading to an integer overflow and resultant heap-based buffer overflow."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2019-14444,Medium,,,2021-05-03T01:13:06.673411128Z,"apply_relocations in readelf.c in GNU Binutils 2.32 contains an integer overflow that allows attackers to trigger a write access violation (in byte_put_little_endian function in elfcomm.c) via an ELF file, as demonstrated by readelf."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2019-17451,Medium,,,2021-05-03T01:13:06.673411128Z,"An issue was discovered in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.32. It is an integer overflow leading to a SEGV in _bfd_dwarf2_find_nearest_line in dwarf2.c, as demonstrated by nm."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2016-2226,Low,,,2021-05-03T01:13:06.673411128Z,"Integer overflow in the string_appends function in cplus-dem.c in libiberty allows remote attackers to execute arbitrary code via a crafted executable, which triggers a buffer overflow."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12448,Low,,,2021-05-03T01:13:06.673411128Z,"The bfd_cache_close function in bfd/cache.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause a heap use after free and possibly achieve code execution via a crafted nested archive file. This issue occurs because incorrect functions are called during an attempt to release memory. The issue can be addressed by better input validation in the bfd_generic_archive_p function in bfd/archive.c."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12449,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_vms_save_sized_string function in vms-misc.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12450,Low,,,2021-05-03T01:13:06.673411128Z,"The alpha_vms_object_p function in bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap write and possibly achieve code execution via a crafted vms alpha file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12451,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_xcoff_read_ar_hdr function in bfd/coff-rs6000.c and bfd/coff64-rs6000.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds stack read via a crafted COFF image file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12452,Low,,,2021-05-03T01:13:06.673411128Z,"The bfd_mach_o_i386_canonicalize_one_reloc function in bfd/mach-o-i386.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted mach-o file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12453,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_vms_slurp_eeom function in libbfd.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms alpha file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12454,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_vms_slurp_egsd function in bfd/vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an arbitrary memory read via a crafted vms alpha file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12455,Low,,,2021-05-03T01:13:06.673411128Z,"The evax_bfd_print_emh function in vms-alpha.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted vms alpha file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12456,Low,,,2021-05-03T01:13:06.673411128Z,The read_symbol_stabs_debugging_info function in rddbg.c in GNU Binutils 2.29 and earlier allows remote attackers to cause an out of bounds heap read via a crafted binary file.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12457,Low,,,2021-05-03T01:13:06.673411128Z,"The bfd_make_section_with_flags function in section.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause a NULL dereference via a crafted file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12458,Low,,,2021-05-03T01:13:06.673411128Z,"The nlm_swap_auxiliary_headers_in function in bfd/nlmcode.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap read via a crafted nlm file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12459,Low,,,2021-05-03T01:13:06.673411128Z,"The bfd_mach_o_read_symtab_strtab function in bfd/mach-o.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29 and earlier, allows remote attackers to cause an out of bounds heap write and possibly achieve code execution via a crafted mach-o file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12799,Low,,,2021-05-03T01:13:06.673411128Z,The elf_read_notesfunction in bfd/elf.c in GNU Binutils 2.29 allows remote attackers to cause a denial of service (buffer overflow and application crash) or possibly have unspecified other impact via a crafted binary file.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-12967,Low,,,2021-05-03T01:13:06.673411128Z,"The getsym function in tekhex.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (stack-based buffer over-read and application crash) via a malformed tekhex binary."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-13710,Low,,,2021-05-03T01:13:06.673411128Z,"The setup_group function in elf.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a group section that is too small."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-13716,Low,,,2021-05-03T01:13:06.673411128Z,"The C++ symbol demangler routine in cplus-dem.c in libiberty, as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted file, as demonstrated by a call from the Binary File Descriptor (BFD) library (aka libbfd)."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14130,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_elf_parse_attributes function in elf-attrs.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (_bfd_elf_attr_strdup heap-based buffer over-read and application crash) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14333,Low,,,2021-05-03T01:13:06.673411128Z,"The process_version_sections function in readelf.c in GNU Binutils 2.29 allows attackers to cause a denial of service (Integer Overflow, and hang because of a time-consuming loop) or possibly have unspecified other impact via a crafted binary file with invalid values of ent.vn_next, during ""readelf -a"" execution."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14932,Low,,,2021-05-03T01:13:06.673411128Z,"decode_line_info in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (infinite loop) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14938,Low,,,2021-05-03T01:13:06.673411128Z,"_bfd_elf_slurp_version_tables in elf.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (excessive memory allocation and application crash) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14939,Low,,,2021-05-03T01:13:06.673411128Z,"decode_line_info in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, mishandles a length calculation, which allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to read_1_byte."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-14940,Low,,,2021-05-03T01:13:06.673411128Z,"scan_unit_for_symbols in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15020,Low,,,2021-05-03T01:13:06.673411128Z,"dwarf1.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, mishandles pointers, which allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted ELF file, related to parse_die and parse_line_table, as demonstrated by a parse_die heap-based buffer over-read."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15021,Low,,,2021-05-03T01:13:06.673411128Z,"bfd_get_debug_link_info_1 in opncls.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted ELF file, related to bfd_getl32."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15022,Low,,,2021-05-03T01:13:06.673411128Z,"dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, does not validate the DW_AT_name data type, which allows remote attackers to cause a denial of service (bfd_hash_hash NULL pointer dereference, or out-of-bounds access, and application crash) via a crafted ELF file, related to scan_unit_for_symbols and parse_comp_unit."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15024,Low,,,2021-05-03T01:13:06.673411128Z,"find_abstract_instance_name in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (infinite recursion and application crash) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15025,Low,,,2021-05-03T01:13:06.673411128Z,"decode_line_info in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (divide-by-zero error and application crash) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15225,Low,,,2021-05-03T01:13:06.673411128Z,"_bfd_dwarf2_cleanup_debug_info in dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, allows remote attackers to cause a denial of service (memory leak) via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15938,Low,,,2021-05-03T01:13:06.673411128Z,"dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, miscalculates DW_FORM_ref_addr die refs in the case of a relocatable object file, which allows remote attackers to cause a denial of service (find_abstract_instance_name invalid memory read, segmentation fault, and application crash)."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15939,Low,,,2021-05-03T01:13:06.673411128Z,"dwarf2.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29, mishandles NULL files in a .debug_line file table, which allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted ELF file, related to concat_filename. NOTE: this issue is caused by an incomplete fix for CVE-2017-15023."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-15996,Low,,,2021-05-03T01:13:06.673411128Z,"elfcomm.c in readelf in GNU Binutils 2.29 allows remote attackers to cause a denial of service (excessive memory allocation) or possibly have unspecified other impact via a crafted ELF file that triggers a ""buffer overflow on fuzzed archive header,"" related to an uninitialized variable, an improper conditional jump, and the get_archive_member_name, process_archive_index_and_symbols, and setup_archive functions."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8871,Low,,,2021-05-03T01:13:06.673411128Z,The cr_parser_parse_selector_core function in cr-parser.c in libcroco 0.6.12 allows remote attackers to cause a denial of service (infinite loop and CPU consumption) via a crafted CSS file.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-16826,Low,,,2021-05-03T01:13:06.673411128Z,"The coff_slurp_line_table function in coffcode.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, allows remote attackers to cause a denial of service (invalid memory access and application crash) or possibly have unspecified other impact via a crafted PE file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-16827,Low,,,2021-05-03T01:13:06.673411128Z,"The aout_get_external_symbols function in aoutx.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, allows remote attackers to cause a denial of service (slurp_symtab invalid free and application crash) or possibly have unspecified other impact via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-16828,Low,,,2021-05-03T01:13:06.673411128Z,"The display_debug_frames function in dwarf.c in GNU Binutils 2.29.1 allows remote attackers to cause a denial of service (integer overflow and heap-based buffer over-read, and application crash) or possibly have unspecified other impact via a crafted ELF file, related to print_debug_frame."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-16831,Low,,,2021-05-03T01:13:06.673411128Z,"coffgen.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, does not validate the symbol count, which allows remote attackers to cause a denial of service (integer overflow and application crash, or excessive memory allocation) or possibly have unspecified other impact via a crafted PE file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-16832,Low,,,2021-05-03T01:13:06.673411128Z,"The pe_bfd_read_buildid function in peicode.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, does not validate size and offset values in the data dictionary, which allows remote attackers to cause a denial of service (segmentation violation and application crash) or possibly have unspecified other impact via a crafted PE file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17080,Low,,,2021-05-03T01:13:06.673411128Z,"elf.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, does not validate sizes of core notes, which allows remote attackers to cause a denial of service (bfd_getl32 heap-based buffer over-read and application crash) via a crafted object file, related to elfcore_grok_netbsd_procinfo, elfcore_grok_openbsd_procinfo, and elfcore_grok_nto_status."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17121,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, allows remote attackers to cause a denial of service (memory access violation) or possibly have unspecified other impact via a COFF binary in which a relocation refers to a location after the end of the to-be-relocated section."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17122,Low,,,2021-05-03T01:13:06.673411128Z,"The dump_relocs_in_section function in objdump.c in GNU Binutils 2.29.1 does not check for reloc count integer overflows, which allows remote attackers to cause a denial of service (excessive memory allocation, or heap-based buffer overflow and application crash) or possibly have unspecified other impact via a crafted PE file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17123,Low,,,2021-05-03T01:13:06.673411128Z,"The coff_slurp_reloc_table function in coffcode.h in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted COFF based file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2018-11813,Low,,,2021-05-03T01:13:06.673411128Z,libjpeg 9c has a large loop because read_pixel in rdtarga.c mishandles EOF.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17124,Low,,,2021-05-03T01:13:06.673411128Z,"The _bfd_coff_read_string_table function in coffgen.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.29.1, does not properly validate the size of the external string table, which allows remote attackers to cause a denial of service (excessive memory consumption, or heap-based buffer overflow and application crash) or possibly have unspecified other impact via a crafted COFF binary."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-17125,Low,,,2021-05-03T01:13:06.673411128Z,"nm.c and objdump.c in GNU Binutils 2.29.1 mishandle certain global symbols, which allows remote attackers to cause a denial of service (_bfd_elf_get_symbol_version_string buffer over-read and application crash) or possibly have unspecified other impact via a crafted ELF file."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-6965,Low,,,2021-05-03T01:13:06.673411128Z,"readelf in GNU Binutils 2.28 writes to illegal addresses while processing corrupt input files containing symbol-difference relocations, leading to a heap-based buffer overflow."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-6966,Low,,,2021-05-03T01:13:06.673411128Z,"readelf in GNU Binutils 2.28 has a use-after-free (specifically read-after-free) error while processing multiple, relocated sections in an MSP430 binary. This is caused by mishandling of an invalid symbol index, and mishandling of state across invocations."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-6969,Low,,,2021-05-03T01:13:06.673411128Z,readelf in GNU Binutils 2.28 is vulnerable to a heap-based buffer over-read while processing corrupt RL78 binaries. The vulnerability can trigger program crashes. It may lead to an information leak as well.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7209,Low,,,2021-05-03T01:13:06.673411128Z,"The dump_section_as_bytes function in readelf in GNU Binutils 2.28 accesses a NULL pointer while reading section contents in a corrupt binary, leading to a program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7210,Low,,,2021-05-03T01:13:06.673411128Z,"objdump in GNU Binutils 2.28 is vulnerable to multiple heap-based buffer over-reads (of size 1 and size 8) while handling corrupt STABS enum type strings in a crafted object file, leading to program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7223,Low,,,2021-05-03T01:13:06.673411128Z,"GNU assembler in GNU Binutils 2.28 is vulnerable to a global buffer overflow (of size 1) while attempting to unget an EOF character from the input stream, potentially leading to a program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7224,Low,,,2021-05-03T01:13:06.673411128Z,"The find_nearest_line function in objdump in GNU Binutils 2.28 is vulnerable to an invalid write (of size 1) while disassembling a corrupt binary that contains an empty function name, leading to a program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7225,Low,,,2021-05-03T01:13:06.673411128Z,"The find_nearest_line function in addr2line in GNU Binutils 2.28 does not handle the case where the main file name and the directory name are both empty, triggering a NULL pointer dereference and an invalid write, and leading to a program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-9814,Low,,,2021-05-03T01:13:06.673411128Z,cairo-truetype-subset.c in cairo 1.15.6 and earlier allows remote attackers to cause a denial of service (out-of-bounds read) because of mishandling of an unexpected malloc(0) call.
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7226,Low,,,2021-05-03T01:13:06.673411128Z,"The pe_ILF_object_p function in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to a heap-based buffer over-read of size 4049 because it uses the strlen function instead of strnlen, leading to program crashes in several utilities such as addr2line, size, and strings. It could lead to information disclosure as well."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7227,Low,,,2021-05-03T01:13:06.673411128Z,"GNU linker (ld) in GNU Binutils 2.28 is vulnerable to a heap-based buffer overflow while processing a bogus input script, leading to a program crash. This relates to lack of '\0' termination of a name field in ldlex.l."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7299,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has an invalid read (of size 8) because the code to emit relocs (bfd_elf_final_link function in bfd/elflink.c) does not check the format of the input file before trying to read the ELF reloc section header. The vulnerability leads to a GNU linker (ld) program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7300,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has an aout_link_add_symbols function in bfd/aoutx.h that is vulnerable to a heap-based buffer over-read (off-by-one) because of an incomplete check for invalid string offsets while loading symbols, leading to a GNU linker (ld) program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7301,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has an aout_link_add_symbols function in bfd/aoutx.h that has an off-by-one vulnerability because it does not carefully check the string offset. The vulnerability could lead to a GNU linker (ld) program crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7302,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has a swap_std_reloc_out function in bfd/aoutx.h that is vulnerable to an invalid read (of size 4) because of missing checks for relocs that could not be recognised. This vulnerability causes Binutils utilities like strip to crash."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-7614,Low,,,2021-05-03T01:13:06.673411128Z,"elflink.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, has a ""member access within null pointer"" undefined behavior issue, which might allow remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via an ""int main() {return 0;}"" program."
landslide,landslide/landslide,LS_20_2_0_GA ,CVE-2017-8393,Low,,,2021-05-03T01:13:06.673411128Z,"The Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.28, is vulnerable to a global buffer over-read error because of an assumption made by code that runs for objcopy and strip, that SHT_REL/SHR_RELA sections are always named starting with a .rel/.rela prefix. This vulnerability causes programs that conduct an analysis of binary programs using the libbfd library, such as objcopy and strip, to crash."
